1,OC01 ,39,90,1300,OC01 ,592,RE,2084,0
1,OC02 ,45,120,1300,OC02 ,593,RE,2084,0
1,OC04A,59,136,1300,OC04A,594,RE,2084,0
1,OC1A ,39,120,1300,OC1A ,595,RE,2084,0
1,OC2RC,45,136,1300,OC2RC,597,RE,2084,0
1,OC3A ,45,170,1300,OC3A ,598,RE,2084,0
1,OC4A ,59,160,1300,OC4A ,599,RE,2084,0
1,OC4RC,59,136,1300,OC4RC,600,RE,2084,0
1,OC5RC,70,136,1300,OC5RC,601,RE,2084,0
1,OC05,70,160,1300,OC05,778,RE,2084,2
1,OC02A,45,136,1300,OC02A,788,RE,2084,1
1,KPDAM,0,1000,0,KPDAM,789,RE,2121,0
1,CR03,36,90,1300,CR03,794,RS,2142,1
1,OC02A HOEK,45,136,1300,OC02A HOEK,803,RE,2084,1
1,OC1C,39,128,1300,OC1C,878,RE,2084,1
1,OC3A,45,170,1300,OC3A,879,RE,2084,1
1,OC3A H,45,170,1300,OC3A H,880,RE,2084,1
1,OC03,45,160,1300,OC03,2846,RE,2084,1
1,ROC01,71,75,2200,ROC01,6755,RE,2429,2
1,ROC02,56,60,2200,ROC02,6756,RE,2429,1
1,ROC03,56,60,2200,ROC03,6757,RE,2429,2
1,SL01,33,84,1300,SL01,8860,RE,2581,1
1,SL02,36,90,1300,SL02,8861,RE,2581,1
1,SL03,36,105,1300,SL03,8862,RE,2581,1
1,SL01H,33,84,1300,SL01H,8865,RS,2581,1
1,SL02H,36,90,1300,SL02H,8866,RS,2581,1
1,SL03H,36,105,1300,SL03H,8867,RS,2581,1
1,SL04,38,120,1300,SL04,8868,RS,2581,1
1,SL04H,38,120,1300,SL04H,8869,RS,2581,1
1,SL4RC,38,120,1300,SL4RC,9141,RE,2581,1
1,SL3RC,36,105,1300,SL3RC,9142,RE,2581,1
1,SL1RC,33,105,1300,SL1RC,9143,RE,2581,1
1,OC2G,45,160,1300,OC2G,9176,RE,2084,1
1,SK01,35,90,1300,SK01,9177,RE,2611,1
1,SK1A,35,102,1300,SK1A,9178,RE,2611,1
1,SK02,39,120,1300,SK02,9179,RE,2611,1
1,SK03,45,120,1300,SK03,9180,RE,2611,1
1,SK04,45,150,1300,SK04,9181,RE,2611,1
1,SK4G,45,170,1300,SK4G,9182,RE,2611,1
